Series,Title,DOI,Domain,Control,Control Type,Motivation,Motivation Tag,Concerns(-) & Mitigations(+),Concern & Mitigation Typeype,LLM-ification Domain,LLM-related,Wizard-LLMs,,,,
CHI '25,Satori 悟り: Towards Proactive AR Assistant with Belief-Desire-Intention User Modeling,10.1145/3706598.3714188,"Work & Creativity Support, XR/VR/AR",1. trigger the assistance on time and accurately in tasks (content was design in advance),Pre-scripted Content Control,Not specified,Benchmark,Not specified,Not specified,Augmenting Capabilities,1. compare the WoZ system to a LLM-based AR assistant,Wizard versus LLM,,,,
CHI '25,"A Comparative Analysis of Information Gathering by Chatbots, Questionnaires, and Humans in Clinical Pre-Consultation",10.1145/3706598.3713613,Health&Well-being,1. act as a chatbot and gather information in clinical pre-consultation,Communication Control,"1. “The Wizard served the opposite role, providing a benchmark for the highest level of adaptability possible”",Benchmark,Not specified,Not specified,Well-being & Health,"1. compare the WoZ system to a LLM chatbot
2. The Wizard agent asked follow-up questions much more actively than the LLM agent. The Wizard asked follow-up questions more than five times as often, and when participants' initial replies were unsatisfactory, the Wizard was much more likely to add a follow-up question.
3. These follow-up questions fell into four categories: probing for more details, managing the dialogue flow, clarifying participant responses, and prompting more specific information.",Wizard versus LLM,,,,
CHI '25,The People Behind the Robots: How Wizards Wrangle Robots in Public Deployments,10.1145/3706598.3713237,"HCI Methods & Tools, HRI","1. operated two trash-collecting robots in a public plaza from a distance through small controllers hidden under their sweaters
2. collaboratively intervened when one robot got stuck, including pushing one robot into the other and monitoring each other's robot locations","Embodied & Environmental Action Control, Wizard Collaboration & Mediation",Not specified,Not specified,Not specified,Not specified,Reliability & Validity of WoZ,Not specified,Not specified,,,,
CHI '25,Juggling Extra Limbs: Identifying Control Strategies for Supernumerary Multi-Arms in Virtual Reality,10.1145/3706598.3713647,"HRI, Work & Creativity Support, XR/VR/AR",1. simulate autonomous VSLs that respond to user input,"Embodied & Environmental Action Control, System Logic Simulation Control","1. “without restrictions imposed by limitations of today’s technologies”
2. “allowing researchers to investigate user behavior and interaction patterns in controlled environments.”
3. “enables us to systematically study user behavior, control strategies, and embodiment under controlled conditions, mitigating the technical constraints of fully autonomous systems.”","Technical Limitation","1. ""As a result, these findings may not entirely generalize to real-world autonomous systems.""",Ecological Validity,Augmenting Capabilities,Not specified,Not specified,,,,
CHI '25,SpeakEasy: Enhancing Text-to-Speech Interactions for Expressive Content Creation,10.1145/3706598.3714263,Work & Creativity Support,1. record and assign descriptions to a total of 23 performances,"Pre-scripted Content Control, Wizard Collaboration & Mediation","1. “allows us to quickly disseminate insights on interactions that will be made possible with emergent technologies not widely available at the time of writing and to inform the development of these technologies.”
2. “to guarantee a wide variety of performances more effectively and efficiently”
3. “to study high-level context as a potential TTS input mechanism that isn’t currently supported by existing TTS algorithms.”","Adaptive Flexibility, Technical Limitation","1. ""This conversion reduced the naturalness of our recordings and introduced generated speech artifacts as noted in Section 9.8.""",Ecological Validity,"Augmenting Capabilities, Creativity","1. Use GPT-4o to do context comprehending and recommendation
2. “For a future iteration of SpeakEasy which is not a Wizard-of-Oz, we can imagine borrowing from Speechify’s approach by automatically applying various combinations of quantitative controls to a generation to increase the system’s variety instead of relying on the TTS model alone.”",Wizard with LLM,,,,
HRI '25,A Technical User Study on an Authoring Tool for Simplifying VR Study Setups in HRI Research,,"HCI Methods & Tools, HRI, XR/VR/AR",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
CHI '25,CreepyCoCreator? Investigating AI Representation Modes for 3D Object Co-Creation in Virtual Reality,10.1145/3706598.3713720,"Work & Creativity Support, XR/VR/AR",1. created 3D objects by human artists in advance.,Pre-scripted Content Control,"1. ""we conduct a Wizard-of-Oz user study to examine the influence of AI representation on users' perception, collaboration, overall system appeal, and behavioral engagement.""",Technical Limitation,Not specified,Not specified,"Augmenting Capabilities, Creativity",Not specified,Not specified,,,,
CHI '25,Can you pass that tool?: Implications of Indirect Speech in Physical Human-Robot Collaboration,10.1145/3706598.3713780,"HRI, Work & Creativity Support","1. teleoperating the robot’s movement
2. give verbal responses (created in advance)","Communication Control, Embodied & Environmental Action Control, Wizard Collaboration & Mediation","1. “Given the current limitations of algorithms in achieving human-level understanding and generating accurate verbal responses to ISAs”
2. “minimise the influence of potential robotic failures on experimental outcomes”
3. “allows researchers to focus on understanding user interactions with the robot without being hindered by technological limitations or safety issues related to autonomous motion control.”
4. “created an error-free scenario, allowing us to focus on analyzing users’ behaviour in using ISAs and comparing across Speech Modes.”","Controlling Confounds, Ethical & Safety Constraints, Technical Limitation",Not specified,Not specified,Augmenting Capabilities,"“As this study used the Wizard-of-Oz method, participants assumed that the ISA robot was implemented with an LLM. Several participants compared the robot’s capabilities with their prior experiences using voice assistants and commercial LLMs.”",Not specified,,,,
CHI '25,Prompting an Embodied AI Agent: How Embodiment and Multimodal Signaling Affects Prompting Behaviour,10.1145/3706598.3713110,"Work & Creativity Support, XR/VR/AR","1. provide non-verbal feedback
2. act on instructions (move objects within a VR scene)
3. make mistakes 30%","Communication Control, Embodied & Environmental Action Control, Not Specified, Pre-scripted Content Control, System Logic Simulation Control","1. “As our aim was to study user behaviors”
2. “This was particularly important given that people prompt in different ways”
3. “allowed us to control for how frequently and when “misinterpretations” of the participants’ prompts would occur during the study protocol""","Adaptive Flexibility, Controlling Confounds",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
CUI '25,Towards Teams being Led by a Conversational Agent,10.1145/3719160.3736614,Work & Creativity Support,1. hear what the fellow ground players are saying and select from one of a number of candidate responses which in turn causes the corresponding text-to-speech (TTS) response to be played back to all participants,"Communication Control, Pre-scripted Content Control","1. “the time and engineering resources often required to develop such systems”
2. “developing novel AI applications poses the risk that the system being designed does not meet the needs of users, potentially leading to abandonment of such technology”",Cost-Efficiency,Not specified,Not specified,"Augmenting Capabilities, Responsible Computing",1. leverage LLM to develop Wizard response in advance,Wizard with LLM,,,,
